type,key,value
conference, International Conference on Wearable and Implantable Body Sensor Networks,BSN
conference, International Design Engineering Technical Conferences and Computers and Information in Engineering Conference,IDETC/CIE
conference, International IEEE/EMBS Conference on Neural Engineering,NER
conference, International Symposium on Applied Sciences in Biomedical and Communication Technologies,ISABEL
conference, International Symposium on Experimental Robotics,ISER
conference, International Symposium on Intelligent Systems and Informatics,SISY
conference, International Symposium on Medical Measurements and Applications,MeMeA
conference, International Symposium on Robotics Research,ISRR
conference, Optics in Health Care and Biomedical Optics IX,OHBO
conference, Photonic Devices and Algorithms for Computing VIII,PDAC
conference, Proceedings of the 8th ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,RIDMKD
conference, Proceedings of the 9th International Conference on Sensor Networks,SENSORNETS
conference, Proceedings of the ASME Summer Bioengineering Conference,SBC
conference, Proceedings of the China Association for Science and Technology,CAST
conference, Recent Trends in Data Science and Soft Computing,RTDSC
conference, Robotics: Science and Systems,RSS
conference, The Fifth International Conference on Biological Information and Biomedical Engineering,BIBE
conference, The International Conference on Advanced Machine Learning Technologies and Applications,AMLTA
conference, Ukraine Conference on Electrical and Computer Engineering ,UKRCON
conference, World Congress on Intelligent Control and Automation,WCICA
conference,"IEEE Games, Entertainment, Media Conference",GEM
conference,"IEEE International Conference on Manipulation, Manufacturing and Measurement on the Nanoscale",3M-NANO
conference,"International Conference on Solid-State Sensors, Actuators and Microsystems",TRANSDUCERS

